Order,MAE,MSE,RMSE,MAPE
"(3, 1, 3)",227.91908844901178,66182.82585435455,257.2602298342178,0.06406431414696999
"(2, 1, 7)",228.0182178076985,66190.16349554459,257.274490565125,0.06410196902481984
"(7, 1, 2)",228.21053954795119,66393.35932934532,257.66908881226965,0.06417732675549453
"(4, 1, 4)",228.2169276499862,66479.43372087643,257.8360597761229,0.06416963926159998
"(4, 1, 1)",227.67038550949275,66544.16788982388,257.9615628147416,0.06404519272573253
"(1, 1, 4)",227.94707645146573,66641.40950018125,258.1499748211904,0.06413223102127694
"(6, 1, 1)",227.7464082698092,66737.01275237316,258.33507843955914,0.06407587245968728
"(4, 1, 6)",228.4989385689799,66917.00150578441,258.68320684919695,0.0643121945552577
"(6, 1, 4)",228.59179201687144,66987.69573064447,258.8198132497674,0.06434194285896123
"(1, 1, 6)",228.05695791913323,67016.61076877906,258.8756666216025,0.06420068687472938
"(6, 1, 3)",228.6322669561161,67032.94730921839,258.9072175688009,0.06435778332148306
"(7, 1, 3)",228.65308018943165,67033.65187124352,258.9085782110039,0.0643630473553892
"(6, 1, 0)",228.06745142293684,67073.6368092253,258.9857849559031,0.06419696353923372
"(3, 1, 6)",229.23427734071433,67291.19330091486,259.40546120102186,0.0645446537487391
"(0, 1, 6)",228.41585643582917,67473.33785926054,259.7563047536297,0.06434617062108156
"(2, 1, 6)",229.21028422576885,67799.0654180023,260.3825366993768,0.06460460022374855
"(3, 1, 7)",230.05339483602327,67845.87409724739,260.47240563492977,0.06482336853875265
"(6, 1, 2)",229.56318665924775,68099.89795605779,260.95957149730646,0.0647256895601203
"(6, 1, 6)",231.0642501755499,68403.22621024195,261.54010440129815,0.06514245308492236
"(6, 1, 7)",231.45891192366182,68681.22634745821,262.07103301864214,0.06533741623329094
"(7, 1, 6)",230.8884669070236,70509.18725226576,265.53566098033946,0.06548666427858112
"(5, 1, 4)",234.55898628858176,71979.2158266172,268.2894254841536,0.06629732935446843
"(5, 1, 6)",234.9526077005118,71984.90544878539,268.3000287901315,0.06642756002570216
"(6, 1, 5)",240.12488140710528,76756.99682811856,277.05053118180183,0.06810407534848381
